sample_name,genome,tag,input_id,input_value,input_type,md5
AureococcusAnophagefferens-fasta-default,AureococcusAnophagefferens,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_pico_03/Genomes/aan.fasta.gz,files,54728f9cdb490b78987b470bb5ee1d9b
Asterochloris-fasta-default,Asterochloris,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_pico_03/Genomes/acg.fasta.gz,files,599ca9ea56e4cd969cbebb4002a12e8d
ActinidiaChinensis-fasta-default,ActinidiaChinensis,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_dicots_04/Genomes/ach.con.gz,files,94bc40c7af4d6a5f53134a2316226a58
AnanasComosus-fasta-default,AnanasComosus,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_monocots_04_5/Genomes/aco.fasta.gz,files,5ce22ac6f93eb496e7beaabfbf5c18eb
ArachisIpaensis-fasta-default,ArachisIpaensis,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_dicots_04/Genomes/aip.con.gz,files,24fc5101f8840e0253d5a1e5f10b699f
ArabidopsisLyrata-fasta-default,ArabidopsisLyrata,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_dicots_03/Genomes/aly.con.gz,files,cf86ceeafa461fe9645c2b58d5e973ea
AsparagusOfficinalis-fasta-default,AsparagusOfficinalis,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_monocots_04_5/Genomes/aof.fasta.gz,files,83650b2cd4591b0e141c46f39538812b
AuxenochlorellaProtothecoides-fasta-default,AuxenochlorellaProtothecoides,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_pico_03/Genomes/apr.fasta.gz,files,7004f268245ab5add12e183b0d64dc5c
ApostasiaShenzhenica-fasta-default,ApostasiaShenzhenica,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_monocots_04_5/Genomes/ash.fasta.gz,files,b0e5bf8001ffa8029d0af297ee1edef8
ArabidopsisThaliana_Araport11-fasta-default,ArabidopsisThaliana_Araport11,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_dicots_04/Genomes/ath.con.gz,files,b224c347d6cd50db9bda16a6d884f485
ArabidopsisThaliana_TAIR10-fasta-default,ArabidopsisThaliana_TAIR10,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_pico_03/Genomes/ath.fasta.gz,files,5be55f4a5ed83b1a4b40cf27edc8ce7d
AmborellaTrichopoda_v1_0-fasta-default,AmborellaTrichopoda_v1_0,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_dicots_03/Genomes/atr.con.gz,files,b79f4b750bff86dadcd46d382b93d5d6
AmborellaTrichopoda-fasta-default,AmborellaTrichopoda,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_dicots_04/Genomes/atr.con.gz,files,762ced9396d0c7ba2a8f6a35c87cb385
BrachypodiumDistachyon_MIPS_v1_2-fasta-default,BrachypodiumDistachyon_MIPS_v1_2,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_monocots_03/Genomes/bdi.con.gz,files,24a76594bc562d5b95dcb7d70e6c8bee
BrachypodiumDistachyon_JGI_v3_1-fasta-default,BrachypodiumDistachyon_JGI_v3_1,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_monocots_04_5/Genomes/bdi.fasta.gz,files,736eae2802c2b5235757caae22e0a6bc
BrassicaOleracea-fasta-default,BrassicaOleracea,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_dicots_04/Genomes/bol.con.gz,files,b6c3a81ac7d050ab63f2d85b00221516
BathycoccusPrasinos-fasta-default,BathycoccusPrasinos,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_pico_03/Genomes/bprrcc1105.fasta.gz,files,8200656b1c5fc4e42471750bb49dd41a
BrassicaRapa_v1_1-fasta-default,BrassicaRapa_v1_1,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_dicots_03/Genomes/bra.con.gz,files,d62a58f5e54b02bd06ffc157cd6ce121
BrassicaRapa_v1_3-fasta-default,BrassicaRapa_v1_3,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_dicots_04/Genomes/bra.con.gz,files,2ce4dd383a76672b90b1012680874a34
BetaVulgaris_v1_1-fasta-default,BetaVulgaris_v1_1,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_dicots_03/Genomes/bvu.con.gz,files,2b6c4238e3178e6b476fb61f43dbd182
BetaVulgaris_v1_2-fasta-default,BetaVulgaris_v1_2,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_dicots_04/Genomes/bvu.con.gz,files,6e4a0d6c76d094952f7ac44ba2ac154d
CalamusSimplicifolius-fasta-default,CalamusSimplicifolius,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_monocots_04_5/Genomes/calsi.fasta.gz,files,c0cc22eb1ddf69b56bc555b5db8af8b5
CenchrusAmericanus-fasta-default,CenchrusAmericanus,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_monocots_04_5/Genomes/cam.fasta.gz,files,2f0d53c82820a16a79431a1ea405eb0b
CapsicumAnnuum-fasta-default,CapsicumAnnuum,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_dicots_04/Genomes/can.con.gz,files,34bb4f1be55eee7a06a4a8c071f9880c
CicerArietinum-fasta-default,CicerArietinum,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_dicots_04/Genomes/car.con.gz,files,a2d4f90dd3be0fd02dc6f58e2a6884b5
CajanusCajan-fasta-default,CajanusCajan,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_dicots_04/Genomes/ccaj.con.gz,files,3bb3895fd2180702a7773ac6b172dc72
CoffeaCanephora-fasta-default,CoffeaCanephora,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_dicots_04/Genomes/ccan.con.gz,files,200afa6c2d395b571874baab81b0bba1
CitrusClementina-fasta-default,CitrusClementina,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_dicots_04/Genomes/ccl.con.gz,files,d94b4dbb04a352cf7df879d9039de931
CitrullusLanatus_Cucurbit_Genomics-fasta-default,CitrullusLanatus_Cucurbit_Genomics,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_dicots_03/Genomes/cla.con.gz,files,c7f6bfac86c75422ea567dfae5278b0f
CitrullusLanatus-fasta-default,CitrullusLanatus,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_dicots_04/Genomes/cla.con.gz,files,64f13276e1324e230acfc73095bd14bb
CucumisMelo-fasta-default,CucumisMelo,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_dicots_04/Genomes/cme.con.gz,files,cdd23cc59fd079e6345b8d939ca7a200
CyanidioschyzonMerolae-fasta-default,CyanidioschyzonMerolae,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_pico_03/Genomes/cme.fasta.gz,files,c5a84f0557a9eadd1bd1f3184b935076
Chlorella-fasta-default,Chlorella,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_pico_03/Genomes/cnc64a.fasta.gz,files,a8af775f17b2900ab9c5a27be4cf3769
CorchorusOlitorius-fasta-default,CorchorusOlitorius,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_dicots_04/Genomes/col.con.gz,files,cddd20af955bf8e8cfa64fe82f5938b1
CaricaPapaya-fasta-default,CaricaPapaya,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_dicots_04/Genomes/cpa.con.gz,files,ed2dff3d45c5c8d2a9c231d384ed2124
ChenopodiumQuinoa-fasta-default,ChenopodiumQuinoa,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_dicots_04/Genomes/cqu.con.gz,files,fdb8f7ce190326f9cfebb951c126e98a
ChlamydomonasReinhardtii_JGI_v5_0-fasta-default,ChlamydomonasReinhardtii_JGI_v5_0,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_dicots_03/Genomes/cre.con.gz,files,4cd3fad6ec67ec6198898fcbe9267eb1
ChlamydomonasReinhardtii_JGI_v5_5-fasta-default,ChlamydomonasReinhardtii_JGI_v5_5,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_dicots_04/Genomes/cre.con.gz,files,550501f9228fb04d34d2b8c96993740a
CapsellaRubella-fasta-default,CapsellaRubella,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_dicots_04/Genomes/cru.con.gz,files,d8b943cefc2a9041eb66c9ca9db5fad0
CucumisSativus-fasta-default,CucumisSativus,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_dicots_04/Genomes/csa.con.gz,files,3fa04ea0ea9519d74d02b0f7dd3ee253
CitrusSinensis-fasta-default,CitrusSinensis,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_dicots_03/Genomes/csi.con.gz,files,f1952cd15230a191a11982da0d88f07f
